cafe_id,name,district,food_type,suitable_for,budget_level,description,url/contact number
19,Cafe Kumbuk,Colombo,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafekumbuk.com
20,The English Tearoom,Colombo,English,Couple,High,Traditional English tea & snacks,94112223355
21,Cafe Aroma,Colombo,English,Solo,Medium,Cozy café with sandwiches & coffees,94112233466
22,The Commons Coffee,Colombo,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonscoffee.com
23,The Library Cafe,Colombo,English,"Solo,Couple",Medium,Quiet café with light English meals,94112233477
24,Java Lounge,Colombo,English,Family,Medium,Family-friendly coffee shop & pastries,94112233488
25,Gampaha Spice Hut,Gampaha,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan dishes in casual setting,94112345679
26,Lanka Flavors,Gampaha,Sri Lankan,"Couple,Family",Medium,Cozy Sri Lankan cuisine with local specialties,https://www.tripadvisor.com/Restaurant_Review-g293962-d1234568
27,Heritage Café,Gampaha,Sri Lankan,Family,Medium,Authentic Sri Lankan village-inspired menu,94112345680
28,Coconut Grove,Gampaha,Sri Lankan,Couple,Medium,Popular for rice & curry and hoppers,https://coconutgrove.lk
29,Spice & Curry,Gampaha,Sri Lankan,"Solo,Couple",Medium,Home-style Sri Lankan meals,94112345681
30,Curry Bowl,Gampaha,Sri Lankan,Family,Medium,Local favorites with affordable pricing,https://currybowl.lk
31,Taj Gampaha,Gampaha,Indian,"Solo,Couple,Family",Medium,Indian cuisine including curries and biryani,94112345682
32,Mumbai Tandoor,Gampaha,Indian,Couple,High,Fine North Indian dining,https://www.mumbaitandoor.lk
33,Spice Indian Bistro,Gampaha,Indian,Family,Medium,Classic Indian meals & snacks,94112345683
34,Royal Curry,Gampaha,Indian,"Solo,Couple",Medium,Indian meals with quick service,94112345684
35,Curry Palace,Gampaha,Indian,"Couple,Family",Medium,Popular Indian curries & biryani,https://currypalace.lk
36,Masala Lounge,Gampaha,Indian,Solo,Medium,Casual Indian cuisine,94112345685
37,Dragon Wok,Gampaha,Chinese,"Solo,Couple,Family",Medium,Traditional Chinese noodles & dim sum,94112345686
38,Jade Palace,Gampaha,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadepalace.lk
39,Golden Wok,Gampaha,Chinese,Family,Medium,Classic Chinese meals for families,94112345687
40,Dragon Garden,Gampaha,Chinese,"Solo,Couple",Medium,"Popular noodles, rice & dim sum",94112345688
41,Red Dragon,Gampaha,Chinese,Couple,High,Modern Chinese fusion menu,94112345689
42,Chopstick House,Gampaha,Chinese,Family,Medium,Affordable family-friendly Chinese food,94112345690
43,Café Aroma Gampaha,Gampaha,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomagampaha.com
44,English Tearoom,Gampaha,English,Couple,High,Traditional English tea & sandwiches,94112345691
45,Brew & Bites,Gampaha,English,Solo,Medium,Cozy café with coffee & snacks,94112345692
46,The Commons Gampaha,Gampaha,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonsgampaha.com
47,The Library Café,Gampaha,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94112345693
48,Java Lounge,Gampaha,English,Family,Medium,Family-friendly coffee shop & pastries,94112345694
49,Kalutara Spice House,Kalutara,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan cuisine with home-style recipes,94112500001
50,Coconut Leaf Café,Kalutara,Sri Lankan,"Couple,Family",Medium,Cozy café serving local favorites,https://coconutleaf.lk
51,Heritage Spice,Kalutara,Sri Lankan,Family,Medium,Authentic Sri Lankan village-style dishes,94112500002
52,Curry Garden,Kalutara,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://currygarden.lk
53,Kaema Sutra Kalutara,Kalutara,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94112500003
54,Spice & Curry Kalutara,Kalutara,Sri Lankan,Family,Medium,Traditional dishes with cozy ambience,https://spiceandcurry.lk
55,Taj Indian Kalutara,Kalutara,Indian,"Solo,Couple,Family",Medium,Indian cuisine including curries and biryani,94112500004
56,Masala Tandoor,Kalutara,Indian,Couple,High,Fine North Indian dining,https://masalatandoor.lk
57,Royal Curry Kalutara,Kalutara,Indian,Family,Medium,Classic Indian meals & snacks,94112500005
58,Bombay Bistro Kalutara,Kalutara,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94112500006
59,Curry House,Kalutara,Indian,"Couple,Family",Medium,Indian curries & special dishes,https://curryhouse.lk
60,Spice Lounge Kalutara,Kalutara,Indian,Solo,Medium,Quick Indian snacks & meals,94112500007
61,Dragon Wok Kalutara,Kalutara,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94112500008
62,Jade Garden Kalutara,Kalutara,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadegarden.lk
63,Golden Dragon Kalutara,Kalutara,Chinese,Family,Medium,Chinese family-friendly menu,94112500009
64,Red Lantern Kalutara,Kalutara,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94112500010
65,China Palace,Kalutara,Chinese,Couple,High,Modern Chinese fusion dishes,94112500011
66,Chopsticks Kalutara,Kalutara,Chinese,Family,Medium,Affordable family-friendly Chinese food,94112500012
67,Café Aroma Kalutara,Kalutara,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomakalutara.com
68,English Tearoom Kalutara,Kalutara,English,Couple,High,Traditional English tea & sandwiches,94112500013
69,Brew & Bites Kalutara,Kalutara,English,Solo,Medium,Cozy café with coffee & snacks,94112500014
70,The Commons Kalutara,Kalutara,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonskalutara.com
71,Library Café Kalutara,Kalutara,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94112500015
72,Java Lounge Kalutara,Kalutara,English,Family,Medium,Family-friendly coffee shop & pastries,94112500016
73,Kandy Spice Hub,Kandy,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan meals with local flavors,94112600001
74,Lake View Curry,Kandy,Sri Lankan,"Couple,Family",Medium,Cozy café with authentic Sri Lankan dishes,https://lakeviewcurry.lk
75,Heritage Village Café,Kandy,Sri Lankan,Family,Medium,Experience village-style Sri Lankan cuisine,94112600002
76,Curry & Coconut,Kandy,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://curryandcoconut.lk
77,Kaema Sutra Kandy,Kandy,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94112600003
78,Spice Garden,Kandy,Sri Lankan,Family,Medium,Traditional Sri Lankan meals in a natural setting,https://spicegarden.lk
79,Taj Kandy,Kandy,Indian,"Solo,Couple,Family",Medium,North & South Indian cuisine including curries & biryani,94112600004
80,Mumbai Tandoor Kandy,Kandy,Indian,Couple,High,Fine Indian dining,https://mumbaitandoorkandy.lk
81,Royal Curry Kandy,Kandy,Indian,Family,Medium,Classic Indian curries & snacks,94112600005
82,Bombay Bistro Kandy,Kandy,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94112600006
83,Curry Palace Kandy,Kandy,Indian,"Couple,Family",Medium,Popular Indian curries & special dishes,https://currypalace.lk
84,Masala Lounge Kandy,Kandy,Indian,Solo,Medium,Quick Indian snacks & meals,94112600007
85,Dragon Wok Kandy,Kandy,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94112600008
86,Jade Palace Kandy,Kandy,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadepalace.lk
87,Golden Dragon Kandy,Kandy,Chinese,Family,Medium,Chinese family-friendly menu,94112600009
88,Red Lantern Kandy,Kandy,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94112600010
89,China Garden Kandy,Kandy,Chinese,Couple,High,Modern Chinese fusion dishes,94112600011
90,Chopsticks Kandy,Kandy,Chinese,Family,Medium,Affordable family-friendly Chinese food,94112600012
91,Café Aroma Kandy,Kandy,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomakandy.com
92,English Tearoom Kandy,Kandy,English,Couple,High,Traditional English tea & sandwiches,94112600013
93,Brew & Bites Kandy,Kandy,English,Solo,Medium,Cozy café with coffee & snacks,94112600014
94,The Commons Kandy,Kandy,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonskandy.com
95,Library Café Kandy,Kandy,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94112600015
96,Java Lounge Kandy,Kandy,English,Family,Medium,Family-friendly coffee shop & pastries,94112600016
97,Matale Spice Corner,Matale,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan meals with local flavors,94112700001
98,Heritage Curry House,Matale,Sri Lankan,"Couple,Family",Medium,Cozy café serving authentic Sri Lankan dishes,https://heritagecurryhouse.lk
99,Village Kitchen,Matale,Sri Lankan,Family,Medium,Experience village-style Sri Lankan cuisine,94112700002
100,Curry & Coconut Matale,Matale,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://curryandcoconutmatale.lk
101,Kaema Sutra Matale,Matale,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94112700003
102,Spice Garden Matale,Matale,Sri Lankan,Family,Medium,Traditional Sri Lankan meals in a natural setting,https://spicegardenmatale.lk
103,Taj Matale,Matale,Indian,"Solo,Couple,Family",Medium,North & South Indian cuisine including curries & biryani,94112700004
104,Mumbai Tandoor Matale,Matale,Indian,Couple,High,Fine Indian dining,https://mumbaitandoormatale.lk
105,Royal Curry Matale,Matale,Indian,Family,Medium,Classic Indian curries & snacks,94112700005
106,Bombay Bistro Matale,Matale,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94112700006
107,Curry Palace Matale,Matale,Indian,"Couple,Family",Medium,Popular Indian curries & special dishes,https://currypalacematale.lk
108,Masala Lounge Matale,Matale,Indian,Solo,Medium,Quick Indian snacks & meals,94112700007
109,Dragon Wok Matale,Matale,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94112700008
110,Jade Palace Matale,Matale,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadepalacematele.lk
111,Golden Dragon Matale,Matale,Chinese,Family,Medium,Chinese family-friendly menu,94112700009
112,Red Lantern Matale,Matale,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94112700010
113,China Garden Matale,Matale,Chinese,Couple,High,Modern Chinese fusion dishes,94112700011
114,Chopsticks Matale,Matale,Chinese,Family,Medium,Affordable family-friendly Chinese food,94112700012
115,Café Aroma Matale,Matale,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomamatale.com
116,English Tearoom Matale,Matale,English,Couple,High,Traditional English tea & sandwiches,94112700013
117,Brew & Bites Matale,Matale,English,Solo,Medium,Cozy café with coffee & snacks,94112700014
118,The Commons Matale,Matale,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonsmatale.com
119,Library Café Matale,Matale,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94112700015
120,Java Lounge Matale,Matale,English,Family,Medium,Family-friendly coffee shop & pastries,94112700016
121,Nuwara Spice House,Nuwara Eliya,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan cuisine with local flavors,94112800001
122,Tea Valley Café,Nuwara Eliya,Sri Lankan,"Couple,Family",Medium,Cozy café serving authentic Sri Lankan dishes,https://teavalleycafe.lk
123,Heritage Village,Nuwara Eliya,Sri Lankan,Family,Medium,Authentic village-style Sri Lankan meals,94112800002
124,Curry Garden Nuwara,Nuwara Eliya,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://currygardennuwara.lk
125,Kaema Sutra Nuwara,Nuwara Eliya,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94112800003
126,Spice & Herb,Nuwara Eliya,Sri Lankan,Family,Medium,Traditional Sri Lankan meals with natural ingredients,https://spiceandherb.lk
127,Taj Nuwara,Nuwara Eliya,Indian,"Solo,Couple,Family",Medium,North & South Indian cuisine including curries & biryani,94112800004
128,Masala Tandoor Nuwara,Nuwara Eliya,Indian,Couple,High,Fine Indian dining,https://masalatandoornuwara.lk
129,Royal Curry Nuwara,Nuwara Eliya,Indian,Family,Medium,Classic Indian meals & snacks,94112800005
130,Bombay Bistro Nuwara,Nuwara Eliya,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94112800006
131,Curry House Nuwara,Nuwara Eliya,Indian,"Couple,Family",Medium,Popular Indian curries & special dishes,https://curryhousenuwara.lk
132,Spice Lounge Nuwara,Nuwara Eliya,Indian,Solo,Medium,Quick Indian snacks & meals,94112800007
133,Dragon Wok Nuwara,Nuwara Eliya,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94112800008
134,Jade Garden Nuwara,Nuwara Eliya,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadegardennuwara.lk
135,Golden Dragon Nuwara,Nuwara Eliya,Chinese,Family,Medium,Chinese family-friendly menu,94112800009
136,Red Lantern Nuwara,Nuwara Eliya,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94112800010
137,China Palace Nuwara,Nuwara Eliya,Chinese,Couple,High,Modern Chinese fusion dishes,94112800011
138,Chopsticks Nuwara,Nuwara Eliya,Chinese,Family,Medium,Affordable family-friendly Chinese food,94112800012
139,Café Aroma Nuwara,Nuwara Eliya,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomanuwara.com
140,English Tearoom Nuwara,Nuwara Eliya,English,Couple,High,Traditional English tea & sandwiches,94112800013
141,Brew & Bites Nuwara,Nuwara Eliya,English,Solo,Medium,Cozy café with coffee & snacks,94112800014
142,The Commons Nuwara,Nuwara Eliya,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonsnuwara.com
143,Library Café Nuwara,Nuwara Eliya,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94112800015
144,Java Lounge Nuwara,Nuwara Eliya,English,Family,Medium,Family-friendly coffee shop & pastries,94112800016
145,Galle Spice Corner,Galle,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan meals with local flavors,94112900001
146,Dutch Fort Curry,Galle,Sri Lankan,"Couple,Family",Medium,Cozy café serving authentic Sri Lankan dishes,https://dutchfortcurry.lk
147,Lighthouse Café,Galle,Sri Lankan,Family,Medium,Experience village-style Sri Lankan cuisine,94112900002
148,Curry & Coconut Galle,Galle,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://curryandcoconutgalle.lk
149,Kaema Sutra Galle,Galle,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94112900003
150,Spice Garden Galle,Galle,Sri Lankan,Family,Medium,Traditional Sri Lankan meals in a natural setting,https://spicegardengalle.lk
151,Taj Galle,Galle,Indian,"Solo,Couple,Family",Medium,North & South Indian cuisine including curries & biryani,94112900004
152,Mumbai Tandoor Galle,Galle,Indian,Couple,High,Fine Indian dining,https://mumbaitandoorgalle.lk
153,Royal Curry Galle,Galle,Indian,Family,Medium,Classic Indian meals & snacks,94112900005
154,Bombay Bistro Galle,Galle,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94112900006
155,Curry Palace Galle,Galle,Indian,"Couple,Family",Medium,Popular Indian curries & special dishes,https://currypalacegalle.lk
156,Masala Lounge Galle,Galle,Indian,Solo,Medium,Quick Indian snacks & meals,94112900007
157,Dragon Wok Galle,Galle,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94112900008
158,Jade Palace Galle,Galle,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadepalacegalle.lk
159,Golden Dragon Galle,Galle,Chinese,Family,Medium,Chinese family-friendly menu,94112900009
160,Red Lantern Galle,Galle,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94112900010
161,China Garden Galle,Galle,Chinese,Couple,High,Modern Chinese fusion dishes,94112900011
162,Chopsticks Galle,Galle,Chinese,Family,Medium,Affordable family-friendly Chinese food,94112900012
163,Café Aroma Galle,Galle,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomagalle.com
164,English Tearoom Galle,Galle,English,Couple,High,Traditional English tea & sandwiches,94112900013
165,Brew & Bites Galle,Galle,English,Solo,Medium,Cozy café with coffee & snacks,94112900014
166,The Commons Galle,Galle,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonsgalle.com
167,Library Café Galle,Galle,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94112900015
168,Java Lounge Galle,Galle,English,Family,Medium,Family-friendly coffee shop & pastries,94112900016
169,Matara Spice Corner,Matara,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan meals with local flavors,94113000001
170,Coastal Curry House,Matara,Sri Lankan,"Couple,Family",Medium,Cozy café serving authentic Sri Lankan dishes,https://coastalcurryhouse.lk
171,Lighthouse Café Matara,Matara,Sri Lankan,Family,Medium,Experience village-style Sri Lankan cuisine,94113000002
172,Curry & Coconut Matara,Matara,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://curryandcoconutmatara.lk
173,Kaema Sutra Matara,Matara,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94113000003
174,Spice Garden Matara,Matara,Sri Lankan,Family,Medium,Traditional Sri Lankan meals in a natural setting,https://spicegardenmatara.lk
175,Taj Matara,Matara,Indian,"Solo,Couple,Family",Medium,North & South Indian cuisine including curries & biryani,94113000004
176,Mumbai Tandoor Matara,Matara,Indian,Couple,High,Fine Indian dining,https://mumbaitandoormatara.lk
177,Royal Curry Matara,Matara,Indian,Family,Medium,Classic Indian meals & snacks,94113000005
178,Bombay Bistro Matara,Matara,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94113000006
179,Curry Palace Matara,Matara,Indian,"Couple,Family",Medium,Popular Indian curries & special dishes,https://currypalacematra.lk
180,Masala Lounge Matara,Matara,Indian,Solo,Medium,Quick Indian snacks & meals,94113000007
181,Dragon Wok Matara,Matara,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94113000008
182,Jade Palace Matara,Matara,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadepalacematra.lk
183,Golden Dragon Matara,Matara,Chinese,Family,Medium,Chinese family-friendly menu,94113000009
184,Red Lantern Matara,Matara,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94113000010
185,China Garden Matara,Matara,Chinese,Couple,High,Modern Chinese fusion dishes,94113000011
186,Chopsticks Matara,Matara,Chinese,Family,Medium,Affordable family-friendly Chinese food,94113000012
187,Café Aroma Matara,Matara,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomamatara.com
188,English Tearoom Matara,Matara,English,Couple,High,Traditional English tea & sandwiches,94113000013
189,Brew & Bites Matara,Matara,English,Solo,Medium,Cozy café with coffee & snacks,94113000014
190,The Commons Matara,Matara,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonsmatara.com
191,Library Café Matara,Matara,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94113000015
192,Java Lounge Matara,Matara,English,Family,Medium,Family-friendly coffee shop & pastries,94113000016
193,Hambantota Spice Corner,Hambantota,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan meals with local flavors,94113100001
194,Coastal Curry House Hambantota,Hambantota,Sri Lankan,"Couple,Family",Medium,Cozy café serving authentic Sri Lankan dishes,https://coastalcurryhambantota.lk
195,Lighthouse Café Hambantota,Hambantota,Sri Lankan,Family,Medium,Experience village-style Sri Lankan cuisine,94113100002
196,Curry & Coconut Hambantota,Hambantota,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://curryandcocunuthambantota.lk
197,Kaema Sutra Hambantota,Hambantota,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94113100003
198,Spice Garden Hambantota,Hambantota,Sri Lankan,Family,Medium,Traditional Sri Lankan meals in a natural setting,https://spicegardenhambantota.lk
199,Taj Hambantota,Hambantota,Indian,"Solo,Couple,Family",Medium,North & South Indian cuisine including curries & biryani,94113100004
200,Mumbai Tandoor Hambantota,Hambantota,Indian,Couple,High,Fine Indian dining,https://mumbaitandoorhambantota.lk
201,Royal Curry Hambantota,Hambantota,Indian,Family,Medium,Classic Indian meals & snacks,94113100005
202,Bombay Bistro Hambantota,Hambantota,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94113100006
203,Curry Palace Hambantota,Hambantota,Indian,"Couple,Family",Medium,Popular Indian curries & special dishes,https://currypalacehambantota.lk
204,Masala Lounge Hambantota,Hambantota,Indian,Solo,Medium,Quick Indian snacks & meals,94113100007
205,Dragon Wok Hambantota,Hambantota,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94113100008
206,Jade Palace Hambantota,Hambantota,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadepalacehambantota.lk
207,Golden Dragon Hambantota,Hambantota,Chinese,Family,Medium,Chinese family-friendly menu,94113100009
208,Red Lantern Hambantota,Hambantota,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94113100010
209,China Garden Hambantota,Hambantota,Chinese,Couple,High,Modern Chinese fusion dishes,94113100011
210,Chopsticks Hambantota,Hambantota,Chinese,Family,Medium,Affordable family-friendly Chinese food,94113100012
211,Café Aroma Hambantota,Hambantota,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomahambantota.com
212,English Tearoom Hambantota,Hambantota,English,Couple,High,Traditional English tea & sandwiches,94113100013
213,Brew & Bites Hambantota,Hambantota,English,Solo,Medium,Cozy café with coffee & snacks,94113100014
214,The Commons Hambantota,Hambantota,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonshambantota.com
215,Library Café Hambantota,Hambantota,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94113100015
216,Java Lounge Hambantota,Hambantota,English,Family,Medium,Family-friendly coffee shop & pastries,94113100016
217,Jaffna Spice Corner,Jaffna,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan meals with local flavors,94113200001
218,Northern Curry House,Jaffna,Sri Lankan,"Couple,Family",Medium,Cozy café serving authentic Sri Lankan dishes,https://northerncurryjaffna.lk
219,Lighthouse Café Jaffna,Jaffna,Sri Lankan,Family,Medium,Experience village-style Sri Lankan cuisine,94113200002
220,Curry & Coconut Jaffna,Jaffna,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://curryandcoconutjaffna.lk
221,Kaema Sutra Jaffna,Jaffna,Sri Lankan,"Couple,Family",Medium,Contemporary Sri Lankan fine dining,94113200003
222,Spice Garden Jaffna,Jaffna,Sri Lankan,Family,Medium,Traditional Sri Lankan meals in a natural setting,https://spicegardenjaffna.lk
223,Taj Jaffna,Jaffna,Indian,"Solo,Couple,Family",Medium,North & South Indian cuisine including curries & biryani,94113200004
224,Mumbai Tandoor Jaffna,Jaffna,Indian,Couple,High,Fine Indian dining,https://mumbaitandoorjaffna.lk
225,Royal Curry Jaffna,Jaffna,Indian,Family,Medium,Classic Indian meals & snacks,94113200005
226,Bombay Bistro Jaffna,Jaffna,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94113200006
227,Curry Palace Jaffna,Jaffna,Indian,"Couple,Family",Medium,Popular Indian curries & special dishes,https://currypalacejaffna.lk
228,Masala Lounge Jaffna,Jaffna,Indian,Solo,Medium,Quick Indian snacks & meals,94113200007
229,Dragon Wok Jaffna,Jaffna,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94113200008
230,Jade Palace Jaffna,Jaffna,Chinese,Couple,High,Fine dining Chinese cuisine,https://jadepalacejaffna.lk
231,Golden Dragon Jaffna,Jaffna,Chinese,Family,Medium,Chinese family-friendly menu,94113200009
232,Red Lantern Jaffna,Jaffna,Chinese,"Solo,Couple",Medium,Popular Chinese dishes & fried rice,94113200010
233,China Garden Jaffna,Jaffna,Chinese,Couple,High,Modern Chinese fusion dishes,94113200011
234,Chopsticks Jaffna,Jaffna,Chinese,Family,Medium,Affordable family-friendly Chinese food,94113200012
235,Café Aroma Jaffna,Jaffna,English,"Solo,Couple,Family",Medium,"Coffee, pastries & light English meals",https://cafearomajaffna.com
236,English Tearoom Jaffna,Jaffna,English,Couple,High,Traditional English tea & sandwiches,94113200013
237,Brew & Bites Jaffna,Jaffna,English,Solo,Medium,Cozy café with coffee & snacks,94113200014
238,The Commons Jaffna,Jaffna,English,"Couple,Family",Medium,Specialty coffee & cakes,https://thecommonsjaffna.com
239,Library Café Jaffna,Jaffna,English,"Solo,Couple",Medium,Quiet café with light meals & coffee,94113200015
240,Java Lounge Jaffna,Jaffna,English,Family,Medium,Family-friendly coffee shop & pastries,94113200016
241,Anuradhapura Spice Corner,Anuradhapura,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan meals with local flavors,94113300001
242,Sacred City Curry House,Anuradhapura,Sri Lankan,"Couple,Family",Medium,Cozy café serving authentic Sri Lankan dishes,https://sacredcitycurry.lk
243,Lighthouse Café Anuradhapura,Anuradhapura,Sri Lankan,Family,Medium,Experience village-style Sri Lankan cuisine,94113300002
244,Curry & Coconut Anuradhapura,Anuradhapura,Sri Lankan,"Solo,Couple",Medium,Popular for rice & curry and hoppers,https://curryandcoconutanu.lk
