stay_id,name,district,accommodation_types,suitable_for,budget_level,description,url/contact number,,,
11,Villa by the Edge,Colombo,Villa,Couple,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villa%20colombo&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjqDxAHGA0SBwjqDxAHGBMYBjICEAA4ASoHCgU6A0xLUg&qs=CAEyKENob1FyN2J5aUwtODNzZmFBUm9OTDJjdk1URnRhM2x6TWpSak9CQUM4CkIJES-bHPHjeY_aQgkRo23RRR5x0itCCRHMGyiRW98UUVpFMkOqAUAQASoJIgV2aWxsYSgAMh4QASIaCiMrhwuCLAYudRcmGOJpgprOXjU7hJvo7WQyERACIg12aWxsYSBjb2xvbWJv&ap=aAF6KENob1FyN2J5aUwtODNzZmFBUm9OTDJjdk1URnRhM2x6TWpSak9CQUO6AQhvdmVydmlldw&ictx=111&ved=0CAAQ5JsGahcKEwi4kpCyyIuUAxUAAAAAHQAAAAAQBQ,,,
12,Villa 61A,Colombo,Villa,Family;Couple,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villa%20colombo&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaUgoyEjAyJTB4M2FlMjUzZDEwZjdhNzAwMzoweDMyMGIyZTRkMzJkMzgzOGQ6B0NvbG9tYm8SHBIUCgcI6g8QBRgbEgcI6g8QBhgBGAUyAhAAOAEqDQoFOgNMS1IaBCICCgQ&qs=CAEyKENob1F0YWVfaWJpQTN1WFVBUm9OTDJjdk1URjJNMlptYkRacVloQUM4BkIJES-bHPHjeY_aQgkRo23RRR5x0itCCRHMGyiRW98UUVpFMkOqAUAQASoJIgV2aWxsYSgAMh4QASIaCiMrhwuCLAYudRcmGOJpgprOXjU7hJvo7WQyERACIg12aWxsYSBjb2xvbWJv&ap=MAA&ictx=111&ved=0CAAQ5JsGahcKEwiYnPzByIuUAxUAAAAAHQAAAAAQNA,,,
13,A tropical paradise,Colombo,Villa,Couple,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villa%20colombo&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaUgoyEjAyJTB4M2FlMjUzZDEwZjdhNzAwMzoweDMyMGIyZTRkMzJkMzgzOGQ6B0NvbG9tYm8SHBIUCgcI6g8QBRgZEgcI6g8QBRgeGAUyAhAAOAEqDQoFOgNMS1IaBCICCgQ&qs=CAEyJ0Noa1FwTVhFd3NxMW82SUdHZzB2Wnk4eE1YYzBNblI0ZW5FeEVBSTgGQgkRL5sc8eN5j9pCCRGjbdFFHnHSK0IJEcwbKJFb3xRRWkUyQ6oBQBABKgkiBXZpbGxhKAAyHhABIhoKIyuHC4IsBi51FyYY4mmCms5eNTuEm-jtZDIREAIiDXZpbGxhIGNvbG9tYm8&ap=MAA&ictx=111&ved=0CAAQ5JsGahcKEwiYnPzByIuUAxUAAAAAHQAAAAAQYg,,,
14,Fairfield Villa Colombo,Colombo,Villa,Family;Couple,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villa%20colombo&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaUgoyEjAyJTB4M2FlMjUzZDEwZjdhNzAwMzoweDMyMGIyZTRkMzJkMzgzOGQ6B0NvbG9tYm8SHBIUCgcI6g8QBBgcEgcI6g8QBRgEGAYyAhAAOAEqDQoFOgNMS1IaBCICCgQ&qs=CAEyKENob1FtUHZEZ3RmMy1vNkdBUm9OTDJjdk1URjZhM1ptTmpjd2VoQUM4BkIJES-bHPHjeY_aQgkRo23RRR5x0itCCRHMGyiRW98UUVpFMkOqAUAQASoJIgV2aWxsYSgAMh4QASIaCiMrhwuCLAYudRcmGOJpgprOXjU7hJvo7WQyERACIg12aWxsYSBjb2xvbWJv&ap=MAA&ictx=111&ved=0CAAQ5JsGahgKEwiYnPzByIuUAxUAAAAAHQAAAAAQiAE,,,
15,Cinnamon lakeside Colombo ,Colombo,Resort,Family;Couple,High,Click here to visit the website or get contact details.,https://reservations.cinnamonhotels.com/?adult=2&arrive=2026-05-02&chain=31106&child=0&config=meta&currency=LKR&depart=2026-05-03&dsclid=77867614717100032&filter=META&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV_YXiC0B_hqCLJc5LAcvUkUIqWbtSE9-bIbwZmga4LWViIgzHinpb8aAkn8EALw_wcB&hotel=42170&level=hotel&locale=en-US&productcurrency=USD&rooms=1&segment=noMealPlanAssigned&src=goog&start=availresults&utm_campaign=google-ppa-42170&utm_content=localuniversal_02-05-2026_1_42170_LK_mobile_default_23790393320_unknown_standard&utm_medium=channel_connect&utm_source=google-hpa,nudhuuhhsvhhshh9j,nudhuuhhsvhhshh9j,nudhuuhhsvhhshh9j
16,Cinnamon Grand colombo,Colombo,Resort,Family;Couple,High,Click here to visit the website or get contact details.,https://reservations.cinnamonhotels.com/?adult=2&arrive=2026-05-02&chain=31106&child=0&config=meta&currency=LKR&depart=2026-05-03&dsclid=77867654684618752&filter=META&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV-GiJY-yZ0_0eKEQ6HzcUsiAwqFlH-FRCFwRLsKYxoMLG_h58ZT__gaAri8EALw_wcB&hotel=42169&level=hotel&locale=en-US&productcurrency=USD&rooms=1&segment=noMealPlanAssigned&src=goog&start=availresults&utm_campaign=google-ppa-42169&utm_content=localuniversal_02-05-2026_1_42169_LK_mobile_default_23794972069_unknown_standard&utm_medium=channel_connect&utm_source=google-hpa,,,
17,Pegasus Reef Hotel,Colombo,Resort,Family;Couple,High,Click here to visit the website or get contact details.,https://www.pegasusreefhotel.com/?gad_source=1&gad_campaignid=23366614044&gbraid=0AAAABCQ99JlTAscLXiWGa5Tmewmqw32m_&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV8xqXCLYgIGa2zLxHo_z5GpLQSSLONCDaOTLP3LvENWDFq8SfInHg8aAq1TEALw_wcB,,,
18,Marino Beach Colombo,Colombo,Resort,Family;Couple,High,Click here to visit the website or get contact details.,https://www.marinobeach.com/,,,
19,Berjaya Hotel Colombo,Colombo,Resort,Solo;Couple,Medium,Click here to visit the website or get contact details.,https://www.berjayahotel.com/colombo?srsltid=AfmBOoqhyFF_98k8f8WrEQ7-V647fh5WbzyvCdTb3fDUscIy3xosovbm,,,
20,Colombo Court Resort and Spa,Colombo,Resort,Couple;Family,Medium,Click here to visit the website or get contact details.,https://www.colombocourthotel.com/,,,
21,Granbell Hotel Colombo,Colombo,Resort,Family;Couple,Medium,Click here to visit the website or get contact details.,https://granbellhotel.lk/?mhs_hid=23925&mhs_plid=99&mhs_pos=538-513-8486.20986819897&mhs_kid=29221&mhs_cc=granbell-hotels&utm_source=google&utm_medium=cpc&gad_source=1&gad_campaignid=20986819897&gbraid=0AAAAAqyBvrlDvkF7BHFMwo3f4utRpJ0gi&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV8S9bCNUuWEoSgRJu6Uv4xdvuhLVKQufUqCwt8T1ToUnmPF1RNRXdgaAhfYEALw_wcB,,,
22,The Covanro,Gampaha,Hotel,Family;Couple,High,Click here to visit the website or get contact details.,https://www.booking.com/searchresults.en.html?dest_id=1287500&highlighted_hotels=1287500&dest_type=hotel&checkin=2026-05-02&checkout=2026-05-03&group_adults=2&req_adults=2&show_room=128750009_309089493_2_42_0&lang=en&selected_currency=LKR&exrt=318.20614624&ext_price_total=28341.48&ext_price_tax=6703.46&xfc=USD&hca=m&group_children=0&req_children=0&&no_rooms=1&ts=1776238671&edgtid=hs2g9_ajRzGYifgNBxnaiQ&efpc=aLAKibB6Lw&utm_source=metagha&utm_medium=localuniversal&utm_campaign=LK&utm_term=hotel-1287500&utm_content=dev-mobile_los-1_bw-6_dow-Saturday_defdate-1_room-0_gstadt-2_rateid-m_aud-0_gacid-21411130469_mcid-10_ppa-1_clrid-0_ad-1_gstkid-0_checkin-20260502_ppt-M&aid=2419900&label=metagha-link-LULK-hotel-1287500_dev-mobile_los-1_bw-6_dow-Saturday_defdate-1_room-0_gstadt-2_rateid-m_aud-0_gacid-21411130469_mcid-10_ppa-1_clrid-0_ad-1_gstkid-0_checkin-20260502_ppt-M_lp-2144_r-14393082158965290420&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV-CjPLQ0SDJYT-5OUg-QpBit6ZASUPfPICG8gmMJ05_T_CXEbwXODwaApFyEALw_wcB&gad_source=1&gad_campaignid=21411130469,,,
23,Natures Bliss Holidays,Gampaha,Hotel,Family;Couple,High,Click here to visit the website or get contact details.,https://www.heritancehotels.com/heritance-negombo,,,
24,Venus Family Resort,Gampaha,Hotel,Family;Couple,Medium,Click here to visit the website or get contact details.,https://venus-resorts.srilankahotel.net/en/,,,
25,Wet Water Resort,Gampaha,Hotel,Couple;Solo,Medium,Click here to visit the website or get contact details.,https://wet-water-resort.srilankahotel.net/en/,,,
26,Oreeka Hotels,Gampaha,Hotel,Couple;Family,Medium,Click here to visit the website or get contact details.,https://www.oreekahotel.com/,,,
27,Saprin Beach Resort ,Gampaha,Hotel,Family;Couple,Medium,Click here to visit the website or get contact details.,https://saprinbeach.com/,,,
28,Amaluna Resort,Gampaha,Hotel,Family;Couple,Medium,Click here to visit the website or get contact details.,https://www.google.com/search?q=amaluna+resort&oq=Amaluna+Resort&gs_lcrp=EgZjaHJvbWUqDwgAEAAYFBiHAhjjAhiABDIPCAAQABgUGIcCGOMCGIAEMhgIARAuGBQYrwEYxwEYhwIYgAQYmAUYmgUyDAgCEAAYFBiHAhiABDIMCAMQABhDGIAEGIoFMgwIBBAAGEMYgAQYigUyBwgFEAAYgAQyDAgGEAAYQxiABBiKBTIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBBzk0MWowajSoAgCwAgE&sourceid=chrome&ie=UTF-8,,,
29,Beauty World Villa,Gampaha,Villa,Couple;Solo,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villas%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjqDxAFGAESBwjqDxAFGAUYBDICEAA4ASoHCgU6A0xLUg&qs=CAEyKENob1FfZUtyemFueThNM2lBUm9OTDJjdk1URjZOSE5qZG1kblh4QUM4CkIJEQ8yp9Q0po6vQgkRffGqmZLDm-JCCRHUTv6D-esRnlpKMkiqAUUQASoKIgZ2aWxsYXMoADIeEAEiGm1gHvZ1VTnwWIoCSx6Rzvd-ZIPQBb-RB8sKMhUQAiIRdmlsbGFzIGluIGdhbXBhaGE&ap=aAF6KENob1FfZUtyemFueThNM2lBUm9OTDJjdk1URjZOSE5qZG1kblh4QUO6AQhvdmVydmlldw&ictx=111&ved=0CAAQ5JsGahcKEwio8tygzYuUAxUAAAAAHQAAAAAQBA,,,
30,Nestled into a quiet comfy paradise,Gampaha,Villa,Couple;Family,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villas%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjqDxAGGBMSBwjqDxAGGBUYAjICEAA4ASoHCgU6A0xLUg&qs=CAEyKENob1FqLVNjcGMzR3FjZXZBUm9OTDJjdk1URjJlSFJmZVRnNVp4QUM4CkIJEQ8yp9Q0po6vQgkRffGqmZLDm-JCCRHUTv6D-esRnlpKMkiqAUUQASoKIgZ2aWxsYXMoADIeEAEiGm1gHvZ1VTnwWIoCSx6Rzvd-ZIPQBb-RB8sKMhUQAiIRdmlsbGFzIGluIGdhbXBhaGE&ap=aAF6KENob1FqLVNjcGMzR3FjZXZBUm9OTDJjdk1URjJlSFJmZVRnNVp4QUO6AQhvdmVydmlldw&ictx=111&ved=0CAAQ5JsGahcKEwjYz-6qzYuUAxUAAAAAHQAAAAAQCQ,,,
31,Galawaththa Villas,Gampaha,Villa,Family;Couple,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villas%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjqDxAGGBoSBwjqDxAGGB4YBDICEAA4ASoHCgU6A0xLUg&qs=CAEyKENob1ExSjM1bjVqXy1vaWVBUm9OTDJjdk1URjZOSE5xWkY5c2VCQUM4CkIJEQ8yp9Q0po6vQgkRffGqmZLDm-JCCRHUTv6D-esRnlpKMkiqAUUQASoKIgZ2aWxsYXMoADIeEAEiGm1gHvZ1VTnwWIoCSx6Rzvd-ZIPQBb-RB8sKMhUQAiIRdmlsbGFzIGluIGdhbXBhaGE&ap=aAF6KENob1ExSjM1bjVqXy1vaWVBUm9OTDJjdk1URjZOSE5xWkY5c2VCQUO6AQhvdmVydmlldw&ictx=111&ved=0CAAQ5JsGahcKEwiwqeC5zYuUAxUAAAAAHQAAAAAQBQ,,,
32,Garden Villa ,Gampaha,Villa,Couple;Solo,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villas%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaVAoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESHhIUCgcI6g8QBxgDEgcI6g8QBxgFGAIyBAgAEAA4ASoMCgU6A0xLUhoDIgEK&qs=CAEyJ0Noa1F6TTdpdHJlSnpOQkpHZzB2Wnk4eE1YbDJkbmswWkRZeEVBSTgGQgkRDzKn1DSmjq9CCRF98aqZksOb4kIJEdRO_oP56xGeSABaSjJIqgFFEAEqCiIGdmlsbGFzKAAyHhABIhptYB72dVU58FiKAksekc73fmSD0AW_kQfLCjIVEAIiEXZpbGxhcyBpbiBnYW1wYWhh&ap=MAC6AQZwcmljZXM&ictx=111,,,
33,Boutique Villa,Gampaha,Villa,Couple;Family,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villas%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaUgoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESHBIUCgcI6g8QBRgaEgcI6g8QBRgfGAUyAhAAOAEqDAoFOgNMS1IaAyIBCg&qs=CAEyKENob1FyYWk3NnJyeXdNbWNBUm9OTDJjdk1URjBlSEZ1Wm1kaWFCQUM4BkIJEQ8yp9Q0po6vQgkRffGqmZLDm-JCCRHUTv6D-esRnlpKMkiqAUUQASoKIgZ2aWxsYXMoADIeEAEiGm1gHvZ1VTnwWIoCSx6Rzvd-ZIPQBb-RB8sKMhUQAiIRdmlsbGFzIGluIGdhbXBhaGE&ap=MAA&ictx=111&ved=0CAAQ5JsGahgKEwiwmrvHzYuUAxUAAAAAHQAAAAAQhgE,,,
34,GALAWATHTHA VILLA,Gampaha,Villa,Couple;Family,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villas%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaUgoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESHBIUCgcI6g8QBRgKEgcI6g8QBRgMGAIyAhAAOAEqDAoFOgNMS1IaAyIBCg&qs=CAEyJ0Noa1F6NVRtM1BxQ3c4cFpHZzB2Wnk4eE1Yb3hNM3AwYURac0VBSTgGQgkRDzKn1DSmjq9CCRF98aqZksOb4kIJEdRO_oP56xGeWkoySKoBRRABKgoiBnZpbGxhcygAMh4QASIabWAe9nVVOfBYigJLHpHO935kg9AFv5EHywoyFRACIhF2aWxsYXMgaW4gZ2FtcGFoYQ&ap=MAA&ictx=111&ved=0CAAQ5JsGahgKEwiwmrvHzYuUAxUAAAAAHQAAAAAQrAE,,,
35,Gorgeous private luxury villa,Gampaha,Villa,Couple;Solo,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villas%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaUgoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESHBIUCgcI6g8QBxgREgcI6g8QBxgXGAYyAhAAOAEqDAoFOgNMS1IaAyIBCg&qs=CAEyJ0Noa1Fyb0Mwd2RfcTNLMTNHZzB2Wnk4eE1YWmthbk14ZGpCbUVBSTgGQgkRDzKn1DSmjq9CCRF98aqZksOb4kIJEdRO_oP56xGeWkoySKoBRRABKgoiBnZpbGxhcygAMh4QASIabWAe9nVVOfBYigJLHpHO935kg9AFv5EHywoyFRACIhF2aWxsYXMgaW4gZ2FtcGFoYQ&ap=MAA&ictx=111&ved=0CAAQ5JsGahcKEwiwmrvHzYuUAxUAAAAAHQAAAAAQXA,,,
36,Savenndra Resorts,Gampaha,Resort,Family;Couple,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=resorts%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAESCgoCCAMKAggDEAAaHBIaEhQKBwjqDxAFGAISBwjqDxAFGAMYATICEAAqBwoFOgNMS1I&qs=CAEyFENnc0kzcTM0cl9lYzhJUEhBUkFCOApCCRFj3uSPmRtwy0IJERvD5YnHWwXcQgkRAITbHi5nl2NaTTJLqgFIEAEqCyIHcmVzb3J0cygAMh8QASIbLv_IGsJiIWCMtuJOEZ6w8wRYMOa8b74lS7LbMhYQAiIScmVzb3J0cyBpbiBnYW1wYWhh&ap=aAG6AQhvdmVydmlldw&ictx=111&ved=0CAAQ5JsGahcKEwjQu-zl0IuUAxUAAAAAHQAAAAAQBQ,,,
37,Amaluna Resort,Gampaha,Resort,Couple;Family,High,Click here to visit the website or get contact details.,https://www.google.com/search?q=amaluna+resort&oq=Amaluna+Resort&gs_lcrp=EgZjaHJvbWUqDwgAEAAYFBiHAhjjAhiABDIPCAAQABgUGIcCGOMCGIAEMhgIARAuGBQYrwEYxwEYhwIYgAQYmAUYmgUyDAgCEAAYFBiHAhiABDIMCAMQABhDGIAEGIoFMgwIBBAAGEMYgAQYigUyBwgFEAAYgAQyDAgGEAAYQxiABBiKBTIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBBzk0MWowajSoAgCwAgE&sourceid=chrome&ie=UTF-8,,,
38,Comilla Bungalow - Amariya Resorts (PVT) LTD,Gampaha,Resort,Family;Couple,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=resorts%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAESCgoCCAMKAggDEAAaUAoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESGhIUCgcI6g8QBRgCEgcI6g8QBRgDGAEyAhAAKgoKCDoDTEtSWgER&qs=CAEyJkNoZ0lyT25lMXFQS2liMTlHZ3d2Wnk4eE1taHVaM0IzTjNjUUFROAZCCRFj3uSPmRtwy0IJERvD5YnHWwXcQgkRAITbHi5nl2NaTTJLqgFIEAEqCyIHcmVzb3J0cygAMh8QASIbLv_IGsJiIWCMtuJOEZ6w8wRYMOa8b74lS7LbMhYQAiIScmVzb3J0cyBpbiBnYW1wYWhh&ap=MAA&ictx=111&ved=0CAAQ5JsGahcKEwig29Ox0YuUAxUAAAAAHQAAAAAQBA,,,
39,Amandawa Eco - Organic Sanctuary,Gampaha,Resort,Family;Couple,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=resorts%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAESCgoCCAMKAggDEAAaUAoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESGhIUCgcI6g8QBRgCEgcI6g8QBRgDGAEyAhAAKgoKCDoDTEtSWgER&qs=CAEyJ0Noa0lnT0dTNW9UeTZ0cEVHZzB2Wnk4eE1YUmZkbXQzTjNKcUVBRTgGQgkRY97kj5kbcMtCCREbw-WJx1sF3EIJEQCE2x4uZ5djSABaTTJLqgFIEAEqCyIHcmVzb3J0cygAMh8QASIbLv_IGsJiIWCMtuJOEZ6w8wRYMOa8b74lS7LbMhYQAiIScmVzb3J0cyBpbiBnYW1wYWhh&ap=MAA&ictx=111&ved=0CAAQ5JsGahgKEwig29Ox0YuUAxUAAAAAHQAAAAAQiAE,,,
40,Amaya Greens,Gampaha,Resort,Couple;Family,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=resorts%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAESCgoCCAMKAggDEAAaUAoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESGhIUCgcI6g8QBRgCEgcI6g8QBRgDGAEyAhAAKgoKCDoDTEtSWgER&qs=CAEyJ0Noa0l2TWlfNnRYRGliSkhHZzB2Wnk4eE1XTXlibUp5YlRRM0VBRTgGQgkRY97kj5kbcMtCCREbw-WJx1sF3EIJEQCE2x4uZ5djSABaTTJLqgFIEAEqCyIHcmVzb3J0cygAMh8QASIbLv_IGsJiIWCMtuJOEZ6w8wRYMOa8b74lS7LbMhYQAiIScmVzb3J0cyBpbiBnYW1wYWhh&ap=MAA&ictx=111&ved=0CAAQ5JsGahcKEwig29Ox0YuUAxUAAAAAHQAAAAAQRg,,,
41,Akash Hotel,Gampaha,Resort,Family;Couple,Medium,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=resorts%20in%20gampaha&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAESCgoCCAMKAggDEAAaUAoyEjAyJTB4M2FlMmZiNjdhMjJlNzJkOToweDkxM2EyYzU2YTQ5YzhkOGU6B0dhbXBhaGESGhIUCgcI6g8QBRgCEgcI6g8QBRgDGAEyAhAAKgoKCDoDTEtSWgER&qs=CAEyKENob0lrZnVOb3JmN3I2V1ZBUm9OTDJjdk1URm9kRGRmY0cxeVl4QUI4BkIJEWPe5I-ZG3DLQgkRG8PlicdbBdxCCREAhNseLmeXY0gAWk0yS6oBSBABKgsiB3Jlc29ydHMoADIfEAEiGy7_yBrCYiFgjLbiThGesPMEWDDmvG--JUuy2zIWEAIiEnJlc29ydHMgaW4gZ2FtcGFoYQ&ap=MAA&ictx=111&ved=0CAAQ5JsGahgKEwig29Ox0YuUAxUAAAAAHQAAAAAQuwE,,,
