place_id,name,district,category,description, URL
53,"Royal Botanical Gardens, Peradeniya",Kandy,Nature,"Vast gardens with diverse plant species, themed sections, and scenic lawns. ",https://en.wikipedia.org/wiki/Royal_Botanic_Gardens%2C_Peradeniya
54,Udawatta Kele Sanctuary,Kandy,Nature,"Lush forest reserve with trails, wildlife, and birdwatching near the city. ",https://www.google.com/search?q=Udawatta+Kele+Sanctuary
55,Kandy Lake,Kandy,Nature,Serene artificial lake surrounded by walking path and scenic views. ,https://www.google.com/search?q=Kandy+Lake+Sri+Lanka
56,Hanthana Mountain Range,Kandy,Nature,"Green hills offering hiking, views, and nature photography.",https://www.google.com/search?q=Hanthana+Mountain+Range+Sri+Lanka
57,Hulu River Waterfall,Kandy,Adventure,Scenic waterfall near Dumbara with swimming spots and nature trails. ,https://www.google.com/search?q=Hulu+River+Waterfall+Sri+Lanka
58,Knuckles Mountain Range,Kandy,Adventure,"UNESCO?listed wilderness with trekking, cliffs, wildlife and cloud forests. ",https://www.google.com/search?q=Knuckles+Mountain+Range+Sri+Lanka
59,Ambuluwawa Biodiversity Complex,Kandy,Adventure,"Forest?peak park with tower views, gardens, and biodiversity features. ",https://www.google.com/search?q=Ambuluwawa+Biodiversity+Complex+Sri+Lanka
60,Ceylon Tea Plantation Walk (near Kandy),Kandy,Adventure,Guided tea estate walks with scenic slopes and cultural experience.,https://www.google.com/search?q=Ceylon+Tea+Plantation+Walk+Kandy
61,Victoria Reservoir Shore,Kandy,Beaches,"Calm water shoreline ideal for picnics, lakeside walks, and boating (near Kandy).",https://www.google.com/search?q=Victoria+Reservoir+Sri+Lanka
62,Rantembe Reservoir,Kandy,Beaches,Scenic reservoir with hill views and gentle waters ideal for relaxation.,https://www.google.com/search?q=Rantembe+Reservoir+Sri+Lanka
63,Gannoruwa Reservoir Picnic Beach,Kandy,Beaches,Quiet picnic shoreline with views of mountains and water activities.,https://www.google.com/search?q=Gannoruwa+Reservoir+Sri+Lanka
64,Lankathilaka Temple Pond Beach,Kandy,Beaches,Relaxing water edge near historic temple ruins with scenic views. ,https://www.google.com/search?q=Lankathilaka+Temple+Sri+Lanka
65,Dambulla Cave Temple,Matale,Historical,UNESCO World Heritage Site consisting of ancient cave temples with 150+ Buddha statues and murals. ,https://en.wikipedia.org/wiki/Dambulla_Cave_Temple
66,Aluvihare Rock Temple,Matale,Historical,Ancient rock temple where the Tripitaka (Buddhist scriptures) was first written down on ola leaves. ,https://www.google.com/search?q=Aluvihare+Rock+Temple+Sri+Lanka
67,Sri Muthumariamman Temple,Matale,Historical,Vibrant Hindu temple famous for its tall gopuram and annual chariot festival. ,https://www.google.com/search?q=Sri+Muthumariamman+Temple+Sri+Lanka
68,Nalanda Gedige,Matale,Historical,Ancient temple combining Buddhist and Hindu architectural styles in a serene setting.,https://www.google.com/search?q=Nalanda+Gedige+Sri+Lanka
69,Sembuwatta Lake,Matale,Nature,"Picturesque lake surrounded by forests and tea plantations, perfect for relaxation and photography. ",https://www.google.com/search?q=Sembuwatta+Lake+Sri+Lanka
70,Knuckles Mountain Range,Matale,Nature,"UNESCO World Heritage natural reserve with hiking trails, cloud forests, and endemic biodiversity. ",https://www.google.com/search?q=Knuckles+Mountain+Range+Sri+Lanka
71,Riverston Peak,Matale,Nature,Scenic peak with breathtaking valley views and misty highland landscapes. ,https://www.google.com/search?q=Riverston+Peak+Sri+Lanka
72,Hunnas Falls,Matale,Nature,"Beautiful waterfall located near Elkaduwa, surrounded by lush greenery.",https://www.google.com/search?q=Hunnas+Falls+Sri+Lanka
73,Bambarakiri Ella Waterfall,Matale,Adventure,Picturesque waterfall near Rattota with swimming spots and easy trekking trails. ,https://www.google.com/search?q=Bambarakiri+Ella+Sri+Lanka
74,Pitawala Pathana Trek,Matale,Adventure,Vast grassland plateau with scenic views and gentle hiking paths. ,https://www.google.com/search?q=Pitawala+Pathana+Sri+Lanka
75,Hiking in Knuckles Range,Matale,Adventure,"Multiple trekking routes through peaks, forests, and remote villages. ",https://www.google.com/search?q=Hiking+in+Knuckles+Range+Sri+Lanka
76,Spice Garden Trek,Matale,Adventure,Explore lush spice plantations with guided tours and cultural experiences.,https://www.google.com/search?q=Spice+Garden+Trek+Sri+Lanka
77,Sembuwatta Lake Beach,Matale,Beaches,Serene lakeside area with picnic spots and boating options. ,https://www.google.com/search?q=Sembuwatta+Lake+Beach+Sri+Lanka
78,Nalanda Reservoir Edge,Matale,Beaches,Quiet reservoir shoreline near Nalanda Gedige perfect for picnics. ,https://www.google.com/search?q=Nalanda+Reservoir+Sri+Lanka
79,Riverston Stream Shore,Matale,Beaches,Scenic water edge within the Riverston trekking area for relaxing views. ,https://www.google.com/search?q=Riverston+Stream+Sri+Lanka
80,Knuckles Forest Pooling Shore,Matale,Beaches,Natural water pools and gentle stream shorelines deep within the Knuckles forest region.,https://www.google.com/search?q=Knuckles+Forest+Pools+Sri+Lanka
81,Nuwara?Eliya Post Office,Nuwara?Eliya,Historical,"Colonial?era Tudor style post office built in 1894, iconic heritage site in the town centre. ",https://www.google.com/search?q=Nuwara+Eliya+Post+Office+Sri+Lanka
82,Holy Trinity Church,Nuwara?Eliya,Historical,Gothic?Revival style church dating from the 19th century with stained glass windows and historic charm. ,https://www.google.com/search?q=Holy+Trinity+Church+Nuwara+Eliya
83,Seetha Amman Temple,Nuwara?Eliya,Historical,Vibrantly coloured Hindu temple linked to the Ramayana legend where Sita was held captive. ,https://www.google.com/search?q=Seetha+Amman+Temple+Sri+Lanka
84,Grand Hotel Gardens,Nuwara?Eliya,Historical,"Gardens of the famous colonial Grand Hotel, reflecting bygone British?era elegance",https://www.google.com/search?q=Grand+Hotel+Gardens+Nuwara+Eliya
85,Gregory Lake,Nuwara?Eliya,Nature,"Scenic lake with pedal boats, pony rides, cycle paths and waterside picnics. ",https://www.google.com/search?q=Gregory+Lake+Sri+Lanka
86,Hakgala Botanical Gardens,Nuwara?Eliya,Nature,"High?altitude botanical garden with exotic orchids, roses, and themed sections. ",https://www.google.com/search?q=Hakgala+Botanical+Gardens+Sri+Lanka
87,Victoria Park,Nuwara?Eliya,Nature,"Urban park with rare bird life, seasonal blooms, playgrounds and walking paths. ",https://www.google.com/search?q=Victoria+Park+Nuwara+Eliya
88,Moon Plains,Nuwara?Eliya,Nature,Vast grassland with panoramic 360° views of surrounding mountain peaks and wildlife.,https://www.google.com/search?q=Moon+Plains+Sri+Lanka
89,Horton Plains & World’s End,Nuwara?Eliya,Adventure,"Highland national park with dramatic cliffs, cloud forests and rich biodiversity. ",https://www.google.com/search?q=Horton+Plains+World%E2%80%99s+End+Sri+Lanka
90,Lover’s Leap Falls,Nuwara?Eliya,Adventure,Scenic waterfall with a legendary love?story backdrop and viewing trail. ,https://www.google.com/search?q=Lovers+Leap+Falls+Sri+Lanka
91,Devon Falls,Nuwara?Eliya,Adventure,“Veil of the Valley” waterfall with picturesque cascading views beside tea estates. ,https://www.google.com/search?q=Devon+Falls+Sri+Lanka
92,Kurundu Oya Falls,Nuwara?Eliya,Adventure,One of Sri Lanka’s tallest waterfalls with tiered cascades in lush forest.,https://www.google.com/search?q=Kurundu+Oya+Falls+Sri+Lanka
93,Gregory Lake Shore,Nuwara?Eliya,Beaches,Calm lakeside paths and picnic lawns ideal for relaxation and photos. ,https://www.google.com/search?q=Gregory+Lake+Shore+Sri+Lanka
94,Kande Ela Reservoir,Nuwara?Eliya,Beaches,Quiet reservoir edge near town with gentle waters and scenic views. ,https://www.google.com/search?q=Kande+Ela+Reservoir+Sri+Lanka
95,Lake Gregory Paddle Beach,Nuwara?Eliya,Beaches,Small waterside beach area by the lake with paddle boating and kids’ play. ,https://www.google.com/search?q=Lake+Gregory+Paddle+Beach+Sri+Lanka
96,Nanu Oya Falls Shore,Nuwara?Eliya,Beaches,Water edge beside Nanu Oya waterfall stream with gentle recreational access.,https://www.google.com/search?q=Nanu+Oya+Falls+Sri+Lanka
97,Galle Fort,Galle,Historical,"Dutch colonial fort with cobblestone streets, colonial buildings, and historic lighthouse.",https://en.wikipedia.org/wiki/Galle_Fort
98,Dutch Reformed Church,Galle,Historical,18th-century church inside Galle Fort with historic architecture and interior murals.,https://www.google.com/search?q=Dutch+Reformed+Church+Galle
99,National Maritime Museum,Galle,Historical,Museum exhibiting maritime artifacts and history of Sri Lankan naval heritage.,https://www.google.com/search?q=National+Maritime+Museum+Galle
100,All Saints Church,Galle,Historical,Anglican church with Gothic architecture and historic significance in Galle.,https://www.google.com/search?q=All+Saints+Church+Galle
101,Unawatuna Jungle,Galle,Nature,Dense jungle area with wildlife and walking trails near Unawatuna beach.,https://www.google.com/search?q=Unawatuna+Jungle+Sri+Lanka
102,Handunugoda Tea Estate,Galle,Nature,Scenic tea plantation with green landscapes and guided tours.,https://www.google.com/search?q=Handunugoda+Tea+Estate+Sri+Lanka
103,Kanneliya Rainforest Reserve,Galle,Nature,"Biodiverse rainforest with streams, hiking trails, and endemic species.",https://www.google.com/search?q=Kanneliya+Rainforest+Reserve+Sri+Lanka
104,Rumassala Hills,Galle,Nature,"Hill area with panoramic views, tropical flora, and walking trails.",https://www.google.com/search?q=Rumassala+Hills+Sri+Lanka
105,Jungle Hiking in Kanneliya,Galle,Adventure,Guided hiking through rainforest trails and waterfalls.,https://www.google.com/search?q=Jungle+Hiking+in+Kanneliya+Sri+Lanka
106,Surfing in Unawatuna,Galle,Adventure,Beachfront surfing with waves suitable for beginners and intermediates.,https://www.google.com/search?q=Surfing+in+Unawatuna+Sri+Lanka
107,Whale Watching Mirissa,Galle,Adventure,Boat tours for spotting whales and dolphins along the southern coast.,https://www.google.com/search?q=Whale+Watching+Mirissa+Sri+Lanka
108,Cycling in Handunugoda,Galle,Adventure,Cycling paths through tea estates and tropical landscapes.,https://www.google.com/search?q=Cycling+in+Handunugoda+Sri+Lanka
109,Unawatuna Beach,Galle,Beaches,"Sandy beach with calm waters, popular for swimming and sunbathing.",https://www.google.com/search?q=Unawatuna+Beach+Sri+Lanka
110,Jungle Beach,Galle,Beaches,"Secluded beach with natural scenery, ideal for relaxation and photography.",https://www.google.com/search?q=Jungle+Beach+Sri+Lanka
111,Hikkaduwa Beach,Galle,Beaches,"Vibrant beach with snorkeling, coral reefs, and nightlife options.",https://www.google.com/search?q=Hikkaduwa+Beach+Sri+Lanka
112,Wijaya Beach,Galle,Beaches,Quiet beach with shallow waters and local food stalls.,https://www.google.com/search?q=Wijaya+Beach+Sri+Lanka
113,Matara Fort,Matara,Historical,"Dutch-era fort with bastions, lighthouse, and colonial heritage buildings.",https://www.google.com/search?q=Matara+Fort+Sri+Lanka
114,Star Fort,Matara,Historical,"Small star-shaped fort used historically for defense, overlooking the town.",https://www.google.com/search?q=Star+Fort+Sri+Lanka
115,Weherahena Temple,Matara,Historical,Buddhist temple with giant seated Buddha statue and intricate murals.,https://www.google.com/search?q=Weherahena+Temple+Sri+Lanka
116,Old Dutch Church,Matara,Historical,18th-century church reflecting Dutch colonial architecture and history.,https://www.google.com/search?q=Old+Dutch+Church+Sri+Lanka
117,Paravi Duwa Island,Matara,Nature,"Small scenic island in the Nilwala River, perfect for nature walks and photos.",https://www.google.com/search?q=Paravi+Duwa+Island+Sri+Lanka
118,Polhena Nature Reserve,Matara,Nature,Protected area with mangroves and coastal birdlife.,https://www.google.com/search?q=Polhena+Nature+Reserve+Sri+Lanka
119,Dondra Head Lighthouse Gardens,Matara,Nature,Garden area around the lighthouse with sea views and tropical flora.,https://www.google.com/search?q=Dondra+Head+Lighthouse+Gardens+Sri+Lanka
120,Kalametiya Bird Sanctuary,Matara,Nature,Wetland sanctuary with migratory and native birds.,https://www.google.com/search?q=Kalametiya+Bird+Sanctuary+Sri+Lanka
121,Surfing in Polhena,Matara,Adventure,Beginner-friendly surfing spot with consistent waves and reef break.,https://www.google.com/search?q=Surfing+in+Polhena+Sri+Lanka
122,Whale Watching Dondra,Matara,Adventure,"Boat tours for observing whales, dolphins, and marine life.",https://www.google.com/search?q=Whale+Watching+Dondra+Sri+Lanka
123,Canoeing in Nilwala River,Matara,Adventure,River-based canoeing for scenic exploration and light adventure.,https://www.google.com/search?q=Canoeing+in+Nilwala+River+Sri+Lanka
124,Jungle Trek in Weligama,Matara,Adventure,Hiking trails through small forest patches and coastal hills.,https://www.google.com/search?q=Jungle+Trek+in+Weligama+Sri+Lanka
125,Polhena Beach,Matara,Beaches,Calm shallow waters ideal for swimming and snorkeling.,https://www.google.com/search?q=Polhena+Beach+Sri+Lanka
126,Mirissa Beach,Matara,Beaches,"Popular beach with golden sand, nightlife, and whale watching access.",https://www.google.com/search?q=Mirissa+Beach+Sri+Lanka
127,Weligama Beach,Matara,Beaches,Sandy bay with surf schools and beginner-friendly waves.,https://www.google.com/search?q=Weligama+Beach+Sri+Lanka
128,Talpe Beach,Matara,Beaches,Quiet beach with coconut palms and family-friendly swimming areas.,https://www.google.com/search?q=Talpe+Beach+Sri+Lanka
129,Yala Magul Maha Viharaya,Hambantota,Historical,Ancient Buddhist temple with historic ruins and cultural significance.,https://www.google.com/search?q=Yala+Magul+Maha+Viharaya+Sri+Lanka
130,Hambantota Dutch Fort,Hambantota,Historical,"Coastal fort built by the Dutch, featuring bastions and historic walls.",https://www.google.com/search?q=Hambantota+Dutch+Fort+Sri+Lanka
131,Sithulpawwa Rajamaha Viharaya,Hambantota,Historical,Ancient cave temple with rock carvings and panoramic views of the forest.,https://www.google.com/search?q=Sithulpawwa+Rajamaha+Viharaya+Sri+Lanka
132,Magama Raja Maha Viharaya,Hambantota,Historical,"Historic Buddhist temple in Hambantota town, known for traditional architecture.",https://www.google.com/search?q=Magama+Raja+Maha+Viharaya+Sri+Lanka
133,Bundala National Park,Hambantota,Nature,"Wetland sanctuary with migratory birds, elephants, and natural lagoons.",https://www.google.com/search?q=Bundala+National+Park+Sri+Lanka
134,Yala East Park,Hambantota,Nature,Jungle park area with diverse wildlife including leopards and deer.,https://www.google.com/search?q=Yala+East+Park+Sri+Lanka
135,Hambantota Gardens,Hambantota,Nature,"Landscaped gardens with tropical plants, walking paths, and birdlife.",https://www.google.com/search?q=Hambantota+Gardens+Sri+Lanka
136,Kalametiya Lagoon,Hambantota,Nature,"Coastal wetland area with mangroves, birdwatching, and serene environment.",https://www.google.com/search?q=Kalametiya+Lagoon+Sri+Lanka
137,Safari in Yala East,Hambantota,Adventure,"Wildlife safari to spot leopards, elephants, and other wild animals.",https://www.google.com/search?q=Safari+in+Yala+East+Sri+Lanka
138,Cycling in Hambantota,Hambantota,Adventure,"Scenic cycling trails through plantations, coastal roads, and villages.",https://www.google.com/search?q=Cycling+in+Hambantota+Sri+Lanka
139,Boat Safari in Bundala,Hambantota,Adventure,"Boat tour to explore lagoons, birds, and aquatic wildlife.",https://www.google.com/search?q=Boat+Safari+in+Bundala+Sri+Lanka
140,Hiking in Lunugamvehera,Hambantota,Adventure,Trails through natural bushland and wildlife habitats.,https://www.google.com/search?q=Hiking+in+Lunugamvehera+Sri+Lanka
141,Tangalle Beach,Hambantota,Beaches,"Calm beach with golden sands, ideal for swimming and relaxing.",https://www.google.com/search?q=Tangalle+Beach+Sri+Lanka
142,Rekawa Beach,Hambantota,Beaches,"Nesting site for sea turtles with quiet, scenic surroundings.",https://www.google.com/search?q=Rekawa+Beach+Sri+Lanka
143,Yala Beach,Hambantota,Beaches,Secluded beach area near Yala National Park with natural beauty.,https://www.google.com/search?q=Yala+Beach+Sri+Lanka
144,Hambantota Beach,Hambantota,Beaches,"Local beach with open sand, safe for swimming and walking.",https://www.google.com/search?q=Hambantota+Beach+Sri+Lanka
145,Jaffna Fort,Jaffna,Historical,"17th-century fort built by the Portuguese and Dutch, with historic walls and cannons.",https://en.wikipedia.org/wiki/Jaffna_Fort
146,Nallur Kandaswamy Kovil,Jaffna,Historical,Iconic Hindu temple with colorful architecture and cultural significance.,https://www.google.com/search?q=Nallur+Kandaswamy+Kovil+Sri+Lanka
147,Jaffna Library,Jaffna,Historical,Historic library with restored colonial architecture and cultural heritage.,https://www.google.com/search?q=Jaffna+Library+Sri+Lanka
148,Keerimalai Naguleswaram Temple,Jaffna,Historical,Ancient Shiva temple near the sea with sacred springs and historic significance.,https://www.google.com/search?q=Keerimalai+Naguleswaram+Temple+Sri+Lanka
149,Casuarina Beach Park,Jaffna,Nature,"Beach park lined with Casuarina trees, ideal for picnics and walks.",https://www.google.com/search?q=Casuarina+Beach+Park+Sri+Lanka
150,Chundikuli Canal,Jaffna,Nature,Scenic canal surrounded by greenery and calm waters.,https://www.google.com/search?q=Chundikuli+Canal+Sri+Lanka
151,Delft Island,Jaffna,Nature,"Small island with wild ponies, baobab trees, and natural landscapes.",https://www.google.com/search?q=Delft+Island+Sri+Lanka
152,Kantharodai,Jaffna,Nature,Ancient Buddhist site with small stupas and surrounding,https://www.google.com/search?q=Kantharodai+Sri+Lanka
153,Kite Surfing Casuarina,Jaffna,Adventure,Beachfront kite surfing with ideal wind conditions.,https://www.google.com/search?q=Kite+Surfing+Casuarina+Sri+Lanka
154,Cycling Delft Island,Jaffna,Adventure,Explore the island’s natural scenery and historic spots by bike.,https://www.google.com/search?q=Cycling+Delft+Island+Sri+Lanka
155,Kayaking Chundikuli Canal,Jaffna,Adventure,Canoeing/kayaking along calm canal waters for scenic views.,https://www.google.com/search?q=Kayaking+Chundikuli+Canal+Sri+Lanka
156,Trekking Nallur Hills,Jaffna,Adventure,Small hill area with panoramic views of Jaffna town and coastline.,https://www.google.com/search?q=Trekking+Nallur+Hills+Sri+Lanka
157,Casuarina Beach,Jaffna,Beaches,"White sand beach with calm waters, popular for relaxation.",https://www.google.com/search?q=Casuarina+Beach+Sri+Lanka
158,Kantharmalai Beach,Jaffna,Beaches,Quiet beach with scenic coastline and natural surroundings.,https://www.google.com/search?q=Kantharmalai+Beach+Sri+Lanka
159,Nainativu Beach,Jaffna,Beaches,Seaside area near Nainativu Island with calm waters and fishing spots.,https://www.google.com/search?q=Nainativu+Beach+Sri+Lanka
160,Point Pedro Beach,Jaffna,Beaches,Northernmost beach in Sri Lanka with shallow waters and serene views.,https://www.google.com/search?q=Point+Pedro+Beach+Sri+Lanka
161,Sri Maha Bodhi,Anuradhapura,Historical,"Sacred fig tree over 2,000 years old in the sacred city.",https://www.google.com/search?q=Sri+Maha+Bodhi+Sri+Lanka
